link_id,from_id,to_id,is_connector,funcclass,lanes,speed,length
2:438964;2:438977,2:438964,2:438977,f,5,2,90,371.620208571258
2:3709157;20656:2867246,2:3709157,20656:2867246,f,7,,30,25.7547426317465
2:458755;2:3710726,2:458755,2:3710726,f,5,2,70,779.155190218676
11178:6033;2:3708781,11178:6033,2:3708781,f,7,,40,132.436434551533
11155:157726;2:438722,11155:157726,2:438722,f,5,2,90,504.697580735693
18931:172374;2:458854,18931:172374,2:458854,f,7,,30,63.5911078769273
20656:783571;20656:783604,20656:783571,20656:783604,f,3,2,70,373.815861943945
2:448963;2:448957,2:448963,2:448957,f,3,2,90,49.1857338901062
2:458767;16671:19644,2:458767,16671:19644,f,0,2,90,6.92278477180952
11158:99515;20656:2888649,11158:99515,20656:2888649,f,7,,50,11.8546964107785
11178:7075;20656:2851475,11178:7075,20656:2851475,f,7,,40,14.2275250480597
2:3711124;2:460395,2:3711124,2:460395,f,7,,30,52.8213171134816
2:440049;2:439983,2:440049,2:439983,f,5,2,70,291.806448945714
2:458153;2:458136,2:458153,2:458136,f,4,2,80,54.0584493498362
2480B3010;20656:2828601,2480B3010,20656:2828601,t,7,,30,100
11158:98949;10747:2157,11158:98949,10747:2157,f,1,1,70,14.4230205624438
2:455203;20656:2893244,2:455203,20656:2893244,f,7,,30,14.4222135577327
2:460523;19308:7572,2:460523,19308:7572,f,7,,50,98.5210814921168
11178:8051;11178:8049,11178:8051,11178:8049,f,7,,50,11.5349551541709
11178:3498;11178:3512,11178:3498,11178:3512,f,7,,30,8.51581704835084
2:458973;2:458999,2:458973,2:458999,f,5,2,70,95.9328599256832
2:459951;11180:925,2:459951,11180:925,f,7,,50,22.463847421764
11178:6376;2:454949,11178:6376,2:454949,f,7,,40,16.1034185769362
10017:22888;2:454554,10017:22888,2:454554,f,7,,30,55.8488526027678
2:454258;2:3708914,2:454258,2:3708914,f,7,,40,108.76084846937
2:455433;10027:776385,2:455433,10027:776385,f,7,,30,87.9564735515632
2:453420;20656:2887975,2:453420,20656:2887975,f,7,,40,21.7132598657587
15590:3292;20656:2851573,15590:3292,20656:2851573,f,7,,30,68.2074090765514
20656:450521;20656:450509,20656:450521,20656:450509,f,7,,30,58.2986349336346
12732:25947;2:457381,12732:25947,2:457381,f,4,2,90,205.000266548652
2:462844;2:462845,2:462844,2:462845,f,7,,30,68.890931520916
11180:1510;2:3711005,11180:1510,2:3711005,f,7,,30,69.672464675602
2:453257;2:3708460,2:453257,2:3708460,f,7,,30,17.4583716307648
19328:968;19328:978,19328:968,19328:978,f,7,,30,65.8800097816205
2:463546;2:463515,2:463546,2:463515,f,5,2,50,56.1176715347192
20656:2869067;2:455439,20656:2869067,2:455439,f,7,,40,98.8264927079868
20656:2889570;20656:2889562,20656:2889570,20656:2889562,f,7,,40,98.5875783209584
10082:96627;2:453454,10082:96627,2:453454,f,3,2,60,182.486479658816
20656:376380;20656:376376,20656:376380,20656:376376,f,7,,40,12.9886216808943
20656:407751;20656:407749,20656:407751,20656:407749,f,7,,30,5.11833150358801
2:457459;2:457432,2:457459,2:457432,f,5,2,70,80.2827812257403
2:3708114;2:3708072,2:3708114,2:3708072,f,5,2,50,13.4172893728875
18:112;2:450887,18:112,2:450887,f,5,,40,24.4969300524782
2:445395;2:445420,2:445395,2:445420,f,5,2,70,238.218097346755
2:462555;20656:2825407,2:462555,20656:2825407,f,7,,30,6.44746903879438
2:460117;2:460136,2:460117,2:460136,f,7,,30,181.453139905598
11178:3486;11157:135968,11178:3486,11157:135968,f,7,,30,66.3907356742246
2:3710169;2:457618,2:3710169,2:457618,f,5,2,50,70.2379718137829
11178:6201;2:456611,11178:6201,2:456611,f,7,,30,7.46358010594465
2480C1040;2:3709676,2480C1040,2:3709676,t,7,,30,100
20656:2888167;2:3709204,20656:2888167,2:3709204,f,7,,40,83.9638199700464
20656:2851545;10027:775688,20656:2851545,10027:775688,f,7,,30,146.821840907794
19328:948;19328:950,19328:948,19328:950,f,5,,50,67.9856048732576
16587:25544;20656:2868407,16587:25544,20656:2868407,f,7,,30,28.3947125009149
11180:1526;11180:1530,11180:1526,11180:1530,f,7,,50,44.7263058743155
11158:99095;2:456179,11158:99095,2:456179,f,5,2,40,3.55836788424042
2:456718;2:3709721,2:456718,2:3709721,f,7,,30,95.735075654347
2:463501;2:3711991,2:463501,2:3711991,f,5,2,50,54.8164494486173
20656:341773;20656:341775,20656:341773,20656:341775,f,7,,50,63.725368101983
20656:363030;20656:363028,20656:363030,20656:363028,f,7,,50,92.4087439272733
2:446332;2:3706765,2:446332,2:3706765,f,5,2,70,94.8945604799556
11178:6278;11178:6282,11178:6278,11178:6282,f,7,,50,29.8992817639999
2:3707542;2:450957,2:3707542,2:450957,f,4,2,70,405.963136264265
2:457183;2:3709932,2:457183,2:3709932,f,4,2,50,32.3879638550158
2:456950;2:3709872,2:456950,2:3709872,f,5,1,70,80.8165510111688
2:447565;2:447666,2:447565,2:447666,f,5,2,70,472.942141480833
2:455041;10027:775859,2:455041,10027:775859,f,7,,30,271.896515344193
2:3709740;11178:2637,2:3709740,11178:2637,f,7,,30,130.0251120561
2:442576;2:442699,2:442576,2:442699,f,7,,70,436.11295468106
16669:27364;16669:27358,16669:27364,16669:27358,f,1,1,50,20.1696163554863
11178:7100;20656:2851505,11178:7100,20656:2851505,f,7,,30,9.88876989350615
2:457194;2:457183,2:457194,2:457183,f,4,2,50,24.5017544672567
2:455648;11178:6193,2:455648,11178:6193,f,7,,50,55.7128976557219
2:460688;2:460707,2:460688,2:460707,f,5,,40,27.6415990135773
2:3710727;2:3710712,2:3710727,2:3710712,f,4,2,50,139.220613503072
2:462595;20656:2824023,2:462595,20656:2824023,f,5,,40,239.905700099056
20656:2898096;2:455181,20656:2898096,2:455181,f,7,,40,124.526397304707
2:457074;2:457114,2:457074,2:457114,f,5,1,70,108.546015394364
16592:21124;2:3710908,16592:21124,2:3710908,f,7,,40,84.857560259514
2:3707067;10082:146211,2:3707067,10082:146211,f,3,2,90,143.873200695953
2:3709051;2:454714,2:3709051,2:454714,f,7,,30,89.9089378614895
2:447778;2:448035,2:447778,2:448035,f,5,2,70,794.28279358357
2:448069;11155:157207,2:448069,11155:157207,f,7,,70,905.846087497187
20656:374907;20656:374909,20656:374907,20656:374909,f,7,,30,35.1401549463891
20656:2828523;2:459770,20656:2828523,2:459770,f,7,,30,74.4744475408263
20656:2870868;20656:771399,20656:2870868,20656:771399,f,7,,40,15.9619247586152
2:456755;2:456741,2:456755,2:456741,f,7,,40,43.8788708264241
2:453113;10027:773867,2:453113,10027:773867,f,7,,30,35.5330642779048
20656:2876809;20656:2817298,20656:2876809,20656:2817298,f,7,,50,7.07959398538658
2:3711731;2:3711744,2:3711731,2:3711744,f,7,,30,317.385725070764
16669:27314;16669:27303,16669:27314,16669:27303,f,0,2,80,247.742125339374
2:443598;2:443614,2:443598,2:443614,f,7,,70,777.117586195102
20656:2871132;20656:2851125,20656:2871132,20656:2851125,f,7,,30,49.5772742062168
20661:30988;2:3708666,20661:30988,2:3708666,f,7,,40,21.5333057112326
10747:2084;16585:28623,10747:2084,16585:28623,f,5,2,70,692.355932981185
2:447565;2:447544,2:447565,2:447544,f,5,2,70,174.193354702684
2:446894;11159:8787,2:446894,11159:8787,f,4,2,80,640.01937686051
2:453506;2:453271,2:453506,2:453271,f,4,2,70,912.96174422503
2:460556;2:460613,2:460556,2:460613,f,7,,70,208.332994169483
20656:2827972;20656:2827990,20656:2827972,20656:2827990,f,7,,30,247.949144078562
1:200200100;12726:148484,1:200200100,12726:148484,f,4,2,50,12.1516320301915
2:455550;2:455526,2:455550,2:455526,f,7,,40,126.377367316931
2:450901;2:450899,2:450901,2:450899,f,7,,30,83.3943859380661
11178:5855;11178:5852,11178:5855,11178:5852,f,4,2,50,21.3088877250739
2:448651;2:448656,2:448651,2:448656,f,7,,50,101.296082026309
2:456450;2:456383,2:456450,2:456383,f,7,,40,90.8636515332304
2:450168;12726:148279,2:450168,12726:148279,f,4,2,50,73.5967259345339
2:3706333;2:444341,2:3706333,2:444341,f,4,2,80,191.058084328347
2:444753;2:444813,2:444753,2:444813,f,5,2,70,52.1061508267727
12847:7412;12847:7416,12847:7412,12847:7416,f,3,2,40,65.4097442997824
20656:2836970;2:3709350,20656:2836970,2:3709350,f,7,,30,6.38671042098737
11154:7528;11154:7530,11154:7528,11154:7530,f,7,,30,62.3699403638681
2:444758;2:444757,2:444758,2:444757,f,5,1,50,41.0368250567764
2:438977;2:438964,2:438977,2:438964,f,5,2,90,371.620208571258
2:460846;11180:1141,2:460846,11180:1141,f,5,,40,141.534507393769
2:438716;2:438729,2:438716,2:438729,f,5,2,90,61.1651431084968
2:460167;16592:21257,2:460167,16592:21257,f,7,,50,55.8349025724403
10082:95108;12843:1996,10082:95108,12843:1996,f,3,2,40,76.2681500992194
2:455411;2:455209,2:455411,2:455209,f,4,2,70,361.808814561737
2:3709058;2:454908,2:3709058,2:454908,f,7,,30,57.0644099068542
10027:777473;20656:2836190,10027:777473,20656:2836190,f,7,,30,128.082236344434
2:456423;2:456373,2:456423,2:456373,f,7,,30,163.039374915921
2:454648;2:454624,2:454648,2:454624,f,7,,40,103.84556237516
10016:320064;20656:2864523,10016:320064,20656:2864523,f,7,,30,5.98907914495519
11178:8527;2:454628,11178:8527,2:454628,f,7,,30,13.1120967047891
20656:2872056;11158:99283,20656:2872056,11158:99283,f,7,,50,4.51584809310718
16585:28757;2:3707947,16585:28757,2:3707947,f,7,,30,109.069468408917
2:458980;2:3710748,2:458980,2:3710748,f,4,2,50,75.5011947401582
2:457398;2:457388,2:457398,2:457388,f,5,2,50,43.0865364676799
2:447659;2:3707059,2:447659,2:3707059,f,5,2,70,138.603273126408
20656:2872442;2:456733,20656:2872442,2:456733,f,7,,40,60.0826041280027
2:459538;2:459491,2:459538,2:459491,f,7,,30,51.2711805450418
20656:2851491;2:3709128,20656:2851491,2:3709128,f,7,,50,14.5084975454509
20656:783565;20656:783567,20656:783565,20656:783567,f,3,2,70,194.431984059991
11178:2794;11178:2798,11178:2794,11178:2798,f,7,,50,130.223006521213
10446:413;2:460258,10446:413,2:460258,f,7,,70,1217.91045408422
2:454662;20656:2876837,2:454662,20656:2876837,f,7,,40,29.7884293390962
2:447010;2:3706822,2:447010,2:3706822,f,4,2,60,101.212152508803
2:460233;11180:1557,2:460233,11180:1557,f,7,,30,240.982571484736
11178:7882;2:453426,11178:7882,2:453426,f,4,2,70,201.377442925364
10017:21165;2:459697,10017:21165,2:459697,f,7,,30,44.3949794241097
2:454707;20656:2868110,2:454707,20656:2868110,f,7,,30,10.2888544066326
2:3709153;2:455280,2:3709153,2:455280,f,7,,30,150.551412997461
16593:48266;16593:48295,16593:48266,16593:48295,f,1,2,70,11.7372505303373
2:3708699;11178:9011,2:3708699,11178:9011,f,7,,40,19.0942956139823
2:460414;2480B2020,2:460414,2480B2020,t,7,,30,100
2:446107;2:445884,2:446107,2:445884,f,5,1,40,169.944341546099
12848:2133;12848:2022,12848:2133,12848:2022,f,5,2,70,25.4472196716325
2:446124;2:3706773,2:446124,2:3706773,f,7,,70,1242.5878023066
2:456792;20656:2830930,2:456792,20656:2830930,f,7,,40,10.1337275965702
20656:2831596;2:455356,20656:2831596,2:455356,f,5,,30,12.240243665564
20656:4004795;20656:4004776,20656:4004795,20656:4004776,f,7,,30,13.4675701596151
2:3706384;2:444583,2:3706384,2:444583,f,5,1,70,375.67263231748
2:457630;2:457652,2:457630,2:457652,f,4,2,80,187.532374693821
2:458797;2:458795,2:458797,2:458795,f,7,,50,67.6177947384481
2:3708968;2:454628,2:3708968,2:454628,f,7,,30,86.2624218390419
2:3711322;2:3711327,2:3711322,2:3711327,f,4,2,70,128.910917799693
2:454957;20656:2868148,2:454957,20656:2868148,f,7,,30,14.5903693234876
2:3708958;2:454196,2:3708958,2:454196,f,7,,40,29.0595390536917
20656:376425;11178:9445,20656:376425,11178:9445,f,7,,50,94.1633286566467
20656:2889556;2:454312,20656:2889556,2:454312,f,7,,40,182.35040238551
2:455762;2:455566,2:455762,2:455566,f,4,2,70,501.608355226494
1:210301700;2:438690,1:210301700,2:438690,f,3,2,40,221.367671616439
10446:239;19328:818,10446:239,19328:818,f,0,2,80,38.938510514497
2:3708266;20656:2874516,2:3708266,20656:2874516,f,7,,30,10.3837285210515
11179:508;11179:504,11179:508,11179:504,f,7,,50,53.7924157689707
12726:148617;16594:23257,12726:148617,16594:23257,f,7,,50,20.8530660199054
20656:2824966;2:3711716,20656:2824966,2:3711716,f,7,,30,111.843612154596
2:3708793;2:3709130,2:3708793,2:3709130,f,7,,30,100.188737655108
2:453777;2:453736,2:453777,2:453736,f,5,2,30,5.86792169347316
2:456356;2:456354,2:456356,2:456354,f,7,,50,62.1765082130802
2:455827;2:456050,2:455827,2:456050,f,5,1,70,392.366156540506
1:200301100;2:454215,1:200301100,2:454215,f,4,2,70,42.9422701502121
2:3707657;2:3707654,2:3707657,2:3707654,f,7,,30,23.6215748207703
2:459831;2:3710906,2:459831,2:3710906,f,7,,30,13.8959435435881
16669:27379;12734:47861,16669:27379,12734:47861,f,7,,50,25.2013557178809
2:456165;2:3709593,2:456165,2:3709593,f,4,2,60,8.35962889581607
2:445681;2:445665,2:445681,2:445665,f,3,2,90,57.0215678319986
11154:7570;2:453777,11154:7570,2:453777,f,7,,30,405.244796166751
2:447681;11155:157207,2:447681,11155:157207,f,7,,70,424.845656445517
20656:2852865;2:456992,20656:2852865,2:456992,f,7,,30,103.84140922058
2:456072;12726:148409,2:456072,12726:148409,f,7,,50,157.090435347129
2:3709050;2:454913,2:3709050,2:454913,f,7,,30,189.784745497732
2:461160;2:3711312,2:461160,2:3711312,f,4,2,70,73.3594529919362
20656:2858968;2:456076,20656:2858968,2:456076,f,7,,40,93.6049476511669
2:443730;2:3706267,2:443730,2:3706267,f,3,2,90,286.471453191616
12847:2452;2:448583,12847:2452,2:448583,f,5,2,40,4.26002652561799
2:456364;11178:6603,2:456364,11178:6603,f,7,,50,78.4100208898368
20656:2852060;11178:3157,20656:2852060,11178:3157,f,7,,30,73.8492773244224
2:462101;12727:131653,2:462101,12727:131653,f,7,,70,25.1951682273943
2:455261;2:3709040,2:455261,2:3709040,f,4,2,40,43.2603703871182
2:3707392;2:3707441,2:3707392,2:3707441,f,7,,50,119.815871205638
20656:2883414;20656:2852044,20656:2883414,20656:2852044,f,7,,30,147.555517565637
20656:2868148;2:454957,20656:2868148,2:454957,f,7,,30,14.5903693234876
2:3706413;10027:793433,2:3706413,10027:793433,f,5,2,70,733.002928219944
2:453908;2:453778,2:453908,2:453778,f,7,,30,147.821699853263
2:446296;2:3706665,2:446296,2:3706665,f,4,2,40,74.1574756384262
10082:124373;2:458732,10082:124373,2:458732,f,4,2,90,268.144967904889
20656:2889665;2:455686,20656:2889665,2:455686,f,7,,40,72.1274001396939
